ACCESSION: MSBNK-SMB_Measured-HSA031P0442000
RECORD_TITLE: Uncharacterized; LC-ESI-QTOF; MS2; NEGATIVE; Averaged data
DATE: 2025.04.02 (Averaged 2025.02.24, Processed 2025.02.24, Annotated 2025.03.31, Curated 2025.04.02)
AUTHORS: Shin-MassBank project
LICENSE: CC BY-NC-SA
PUBLICATION: Yu et al. Front Cell Infect Microbiol. 2022,11,763507
COMMENT: This is an averaged mass spectra data created by averaging product ion scan data obtained from the following DDA dataset.
COMMENT: REPOSITORY MetaboLights
COMMENT: DATASET_ID MTBLS3233
COMMENT: DATASET_TITLE The gut microbiome and metabolites are altered and interrelated in patients with rheumatoid arthritis
COMMENT: DATASET_AUTHORS Die Yu, Juping Du, Xia Pu, Liyuan Zheng, Shuaishuai Chen, Na Wang, Jun Li, Shiyong Chen, Shaobiao Pan, Bo Shen
COMMENT: MS1_M/Z_AVERAGED_THRES 10.000
COMMENT: MS2_M/Z_AVERAGED_THRES 15.000
COMMENT: DATASET_FILE_NUM 59
COMMENT: NUM_AVERAGED_SPEC 24
COMMENT: RAW_SPEC {'HC12-neg_2991': {'bp': 4520.0, 'sum': 5998.0}, 'HC19-neg_2709': {'bp': 2170.0, 'sum': 2882.0}, 'HC3-neg_3003': {'bp': 2142.0, 'sum': 2600.0}, 'HC9-neg_2700': {'bp': 2062.0, 'sum': 3179.0}, 'RA17-neg_2895': {'bp': 1857.0, 'sum': 2570.0}, 'HC18-neg_2813': {'bp': 1815.0, 'sum': 2172.0}, 'RA2-neg_2857': {'bp': 1391.0, 'sum': 1850.0}, 'HC2-neg_2691': {'bp': 1383.0, 'sum': 2146.0}, 'RA5-neg_2782': {'bp': 1225.0, 'sum': 1836.0}, 'QC2-neg_2505': {'bp': 1215.0, 'sum': 2281.0}, 'RA12-neg_2947': {'bp': 1124.0, 'sum': 1888.0}, 'HC13-neg_3090': {'bp': 1076.0, 'sum': 1535.0}, 'QC1-neg_2493': {'bp': 980.0, 'sum': 1947.0}, 'HC5-neg_2695': {'bp': 774.0, 'sum': 1690.0}, 'HC20-neg_2909': {'bp': 766.0, 'sum': 1021.0}, 'RA13-neg_2718': {'bp': 678.0, 'sum': 1086.0}, 'RA16-neg_2951': {'bp': 654.0, 'sum': 1163.0}, 'HC10-neg_2869': {'bp': 551.0, 'sum': 1008.0}, 'QC5-neg_2704': {'bp': 550.0, 'sum': 907.0}, 'QC6-neg_2754': {'bp': 547.0, 'sum': 801.0}, 'HC7-neg_2632': {'bp': 445.0, 'sum': 699.0}, 'HC16-neg_3098': {'bp': 409.0, 'sum': 664.0}, 'RA15-neg_2915': {'bp': 376.0, 'sum': 733.0}, 'RA7-neg_2481': {'bp': 290.0, 'sum': 494.0}}
COMMENT: RETENTION_TIME_STDEV 0.006
COMMENT: PRECURSOR_M/Z_RAW 442.191814
COMMENT: PRECURSOR_M/Z_STDEV 0.001220
COMMENT: PRECURSOR_IN_MS1 mz 442.189355; int 33.548; delta(ppm) -0.797108
COMMENT: PROPOSED_CHARGE_STATE ND
COMMENT: PROPOSED_ISOTOPE_STATE ND
COMMENT: PROPOSED_ION_FORM M+Na-2H; M-H2O-H; mz 402.195241; int 3.402; cor 0.626
COMMENT: PROPOSED_MAX_NUM_S 0
COMMENT: PROPOSED_MF SevenGoldenRules 8.597; C22H31N5OP2; [M-H]1; delta(ppm) -8.596637
COMMENT: PROPOSED_MF MS-FINDER 2.804; C9H25N13O8; [M-H]-; delta(ppm) 3.768903
COMMENT: PROPOSED_MF MS-FINDER 2.777; C15H34N5O6PS; [M-H]-; delta(ppm) -0.380881
COMMENT: PROPOSED_MF MS-FINDER 2.775; C14H38NO10PS; [M-H]-; delta(ppm) 2.643654
COMMENT: PROPOSED_MF MS-FINDER 2.753; C10H29N13O3S2; [M-H]-; delta(ppm) 1.803630
COMMENT: PROPOSED_MF MS-FINDER 2.752; C16H35N3O7P2; [M-H]-; delta(ppm) 3.507422
COMMENT: PROPOSED_MF MS-FINDER 2.748; C13H37N3O9S2; [M-H]-; delta(ppm) -1.244643
COMMENT: PROPOSED_MF MS-FINDER 2.741; C13H39N3O7P2S; [M-H]-; delta(ppm) -4.116293
COMMENT: PROPOSED_MF MS-FINDER 2.732; C10H36N7O6P3; [M-H]-; delta(ppm) 5.844815
COMMENT: PROPOSED_MF MS-FINDER 2.699; C18H25N11OS; [M-H]-; delta(ppm) 0.330019
COMMENT: PROPOSED_MF MS-FINDER 2.689; C16H30N9O2PS; [M-H]-; delta(ppm) -3.405398
COMMENT: PROPOSED_MF MS-FINDER 2.688; C9H33N9O7S2; [M-H]-; delta(ppm) 4.828179
COMMENT: PROPOSED_MF MS-FINDER 2.681; C23H30N3O4P; [M-H]-; delta(ppm) -1.854486
COMMENT: PROPOSED_MF MS-FINDER 2.678; C17H29N7O5S; [M-H]-; delta(ppm) 3.354559
COMMENT: PROPOSED_MF MS-FINDER 2.670; C14H25N11O6; [M-H]-; delta(ppm) -5.328411
COMMENT: PROPOSED_MF MS-FINDER 2.669; C11H30N11O4PS; [M-H]-; delta(ppm) 5.691951
COMMENT: PROPOSED_MF MS-FINDER 2.666; C15H42NO5PS3; [M-H]-; delta(ppm) 0.678386
COMMENT: PROPOSED_MF MS-FINDER 2.649; C19H26N9O2P; [M-H]-; delta(ppm) 4.218329
COMMENT: PROPOSED_MF MS-FINDER 2.648; C23H27N5O3; [M+Na-2H]-; delta(ppm) 88597.153111
COMMENT: PROPOSED_MF MS-FINDER 2.638; C14H33N7O5S2; [M-H]-; delta(ppm) -4.269155
COMMENT: PROPOSED_MF MS-FINDER 2.603; C10H37N9O2S4; [M-H]-; delta(ppm) 2.862902
COMMENT: PROPOSED_MF MS-FINDER 2.596; C21H35NO5P2; [M-H]-; delta(ppm) -5.589887
COMMENT: PROPOSED_MF MS-FINDER 2.581; C16H33N3O9S; [M-H]-; delta(ppm) 6.379116
COMMENT: PROPOSED_MF MS-FINDER 2.547; C14H41N3O4S4; [M-H]-; delta(ppm) -3.209896
COMMENT: PROPOSED_MF MS-FINDER 2.537; C18H30N5O6P; [M-H]-; delta(ppm) 7.242892
COMMENT: PROPOSED_MF MS-FINDER 2.534; C10H34N7O8PS; [M-H]-; delta(ppm) 8.716523
COMMENT: PROPOSED_MF MS-FINDER 2.528; C17H37N3O4S3; [M-H]-; delta(ppm) 4.413834
COMMENT: PROPOSED_MF MS-FINDER 2.525; C25H33NO2S2; [M-H]-; delta(ppm) 2.940215
COMMENT: PROPOSED_MF MS-FINDER 2.511; C11H38N7O3PS3; [M-H]-; delta(ppm) 6.751231
COMMENT: PROPOSED_MF MS-FINDER 2.509; C12H30N9O7P; [M-H]-; delta(ppm) -9.063787
COMMENT: PROPOSED_MF MS-FINDER 2.503; C12H27N11O6; [M+Na-2H]-; delta(ppm) 88588.609748
COMMENT: PROPOSED_MF MS-FINDER 2.498; C12H38N5O6PS2; [M-H]-; delta(ppm) -8.004538
COMMENT: PROPOSED_MF MS-FINDER 2.483; C11H31N7O10; [M+Na-2H]-; delta(ppm) 88592.193902
COMMENT: PROPOSED_MF MS-FINDER 2.482; C12H31N9O5P2; [M-H]-; delta(ppm) 9.580302
COMMENT: PROPOSED_MF MS-FINDER 2.475; C15H21N15O2; [M-H]-; delta(ppm) -8.352898
COMMENT: PROPOSED_MF MS-FINDER 2.475; C10H32N9O7P; [M+Na-2H]-; delta(ppm) 88584.183189
COMMENT: PROPOSED_MF MS-FINDER 2.466; C28H27N3O; [M+Na-2H]-; delta(ppm) 88586.372486
COMMENT: PROPOSED_MF MS-FINDER 2.461; C15H29N11OS2; [M-H]-; delta(ppm) -7.293648
COMMENT: PROPOSED_MF MS-FINDER 2.456; C10H33N7O10S; [M-H]-; delta(ppm) -9.927533
COMMENT: PROPOSED_MF MS-FINDER 2.446; C11H17N21; [M-H]-; delta(ppm) -2.280163
COMMENT: PROPOSED_MF MS-FINDER 2.441; C22H37NO2S3; [M-H]-; delta(ppm) -4.683492
COMMENT: PROPOSED_MF MS-FINDER 2.441; C19H37NO5P2; [M+Na-2H]-; delta(ppm) 88588.299890
COMMENT: PROPOSED_MF MS-FINDER 2.430; C12H46NO5PS4; [M-H]-; delta(ppm) -6.945287
COMMENT: PROPOSED_MF MS-FINDER 2.426; C14H32N9O2PS; [M+Na-2H]-; delta(ppm) 88590.888592
COMMENT: PROPOSED_MF MS-FINDER 2.423; C13H23N15O2; [M+Na-2H]-; delta(ppm) 88585.025618
COMMENT: PROPOSED_MF MS-FINDER 2.422; C21H21N11O; [M-H]-; delta(ppm) 7.953803
COMMENT: PROPOSED_MF MS-FINDER 2.421; C12H35N7O5S2; [M+Na-2H]-; delta(ppm) 88589.865007
COMMENT: PROPOSED_MF MS-FINDER 2.417; C13H25N13O3S; [M-H]-; delta(ppm) 9.427437
COMMENT: PROPOSED_MF MS-FINDER 2.397; C18H38NO5PS2; [M-H]-; delta(ppm) 8.302175
COMMENT: PROPOSED_MF MS-FINDER 2.380; C13H31N11OS2; [M+Na-2H]-; delta(ppm) 88586.280869
COMMENT: PROPOSED_MF MS-FINDER 2.354; C19H35NO7S; [M+Na-2H]-; delta(ppm) 88591.702894
COMMENT: PROPOSED_MF MS-FINDER 2.349; C13H36N5O6PS; [M+Na-2H]-; delta(ppm) 88594.472761
COMMENT: PROPOSED_MF MS-FINDER 2.343; C20H34N3O4PS; [M-H]-; delta(ppm) -9.478120
COMMENT: PROPOSED_MF MS-FINDER 2.330; C21H32N3O4P; [M+Na-2H]-; delta(ppm) 88592.726482
COMMENT: PROPOSED_MF MS-FINDER 2.321; C18H36N3O4PS; [M+Na-2H]-; delta(ppm) 88583.692188
COMMENT: PROPOSED_MF MS-FINDER 2.296; C11H28N13O3P; [M+Na-2H]-; delta(ppm) 88580.599088
COMMENT: PROPOSED_MF MS-FINDER 2.288; C16H31N5O8; [M+Na-2H]-; delta(ppm) 88581.413375
COMMENT: PROPOSED_MF MS-FINDER 2.287; C11H36N9O2PS2; [M+Na-2H]-; delta(ppm) 88581.854328
COMMENT: PROPOSED_MF MS-FINDER 2.275; C12H43N3O4S4; [M+Na-2H]-; delta(ppm) 88591.120269
COMMENT: PROPOSED_MF MS-FINDER 2.270; C13H39N7S4; [M+Na-2H]-; delta(ppm) 88587.536123
COMMENT: PROPOSED_MF MS-FINDER 2.261; C16H39NO7S2; [M+Na-2H]-; delta(ppm) 88582.668617
COMMENT: PROPOSED_MF MS-FINDER 2.248; C9H31N11O6S; [M+Na-2H]-; delta(ppm) 88579.575522
COMMENT: PROPOSED_MF MS-FINDER 2.247; C18H33N7S3; [M-H]-; delta(ppm) 1.389288
COMMENT: PROPOSED_MF MS-FINDER 2.246; C20H39NO2S3; [M+Na-2H]-; delta(ppm) 88589.374002
COMMENT: PROPOSED_MF MS-FINDER 2.235; C16H27N11OS; [M+Na-2H]-; delta(ppm) 88595.315206
COMMENT: PROPOSED_MF MS-FINDER 2.221; C8H31N13O3S2; [M+Na-2H]-; delta(ppm) 88597.061492
COMMENT: PROPOSED_MF MS-FINDER 2.196; C7H27N13O8; [M+Na-2H]-; delta(ppm) 88599.390418
COMMENT: PROPOSED_MF MS-FINDER 2.187; C13H44NO5PS3; [M+Na-2H]-; delta(ppm) 88595.728033
COMMENT: PROPOSED_MF MS-FINDER 2.177; C26H32NO2P; [M+Na-2H]-; delta(ppm) 88581.945945
COMMENT: PROPOSED_MF MS-FINDER 2.170; C17H33NO12; [M-H]-; delta(ppm) -8.376641
COMMENT: PROPOSED_MF MS-FINDER 2.168; C16H41NO5P2S; [M+Na-2H]-; delta(ppm) 88579.265669
COMMENT: PROPOSED_MF MS-FINDER 2.156; C14H37N3O7P2; [M+Na-2H]-; delta(ppm) 88599.080553
COMMENT: PROPOSED_MF MS-FINDER 2.097; C25H31N3OS; [M+Na-2H]-; delta(ppm) 88577.338297
COMMENT: PROPOSED_MF MS-FINDER 2.088; C15H31N7O5S; [M+Na-2H]-; delta(ppm) 88598.899404
COMMENT: PROPOSED_MF MS-FINDER 2.069; C16H35N7S3; [M+Na-2H]-; delta(ppm) 88596.570480
COMMENT: PROPOSED_MF MS-FINDER 2.061; C17H35N5O3S2; [M+Na-2H]-; delta(ppm) 88579.084526
COMMENT: PROPOSED_MF MS-FINDER 2.058; C15H37N7S4; [M-H]-; delta(ppm) -6.234396
COMMENT: PROPOSED_MF MS-FINDER 2.038; C30H25N3O; [M-H]-; delta(ppm) -7.216337
COMMENT: PROPOSED_MF MS-FINDER 1.996; C17H43NO2S4; [M+Na-2H]-; delta(ppm) 88580.339763
COMMENT: PROPOSED_MF MS-FINDER 1.992; C10H35N11OS3; [M+Na-2H]-; delta(ppm) 88577.246682
COMMENT: PROPOSED_MF MS-FINDER 1.949; C23H35NO2S2; [M+Na-2H]-; delta(ppm) 88598.408390
COMMENT: PROPOSED_MF MS-FINDER 1.944; C21H29N7S2; [M-H]-; delta(ppm) 9.013088
COMMENT: PROPOSED_MF SIRIUS5_Sirius 3.709; C28H27N3O; [M-H+Na-H]-; delta(ppm) 91293.954116
COMMENT: PROPOSED_MF SIRIUS5_Sirius 3.108; C23H27N5O3; [M-H+Na-H]-; delta(ppm) 91304.788436
COMMENT: PROPOSED_MF SIRIUS5_Sirius 2.186; C22H32ClN3O3; [M-H+Na-H]-; delta(ppm) 30275.863458
COMMENT: PROPOSED_MF SIRIUS5_Sirius 1.905; C20H31N5O3S; [M-H+Na-H]-; delta(ppm) 91295.709071
COMMENT: PROPOSED_MF SIRIUS5_Sirius 1.674; C25H28FN3O2; [M-H+Na-H]-; delta(ppm) 91290.876682
COMMENT: PROPOSED_MF SIRIUS5_Sirius 1.382; C27H32ClNO; [M-H+Na-H]-; delta(ppm) 30266.207022
COMMENT: PROPOSED_MF SIRIUS5_Zodiac 0.461; C28H27N3O; [M-H+Na-H]-; delta(ppm) 91293.954116
COMMENT: PROPOSED_MF SIRIUS5_Zodiac 0.242; C23H27N5O3; [M-H+Na-H]-; delta(ppm) 91304.788436
COMMENT: PROPOSED_MF SIRIUS5_Zodiac 0.096; C22H32ClN3O3; [M-H+Na-H]-; delta(ppm) 30275.863458
COMMENT: PROPOSED_MF SIRIUS5_Zodiac 0.077; C20H31N5O3S; [M-H+Na-H]-; delta(ppm) 91295.709071
COMMENT: PROPOSED_MF SIRIUS5_Zodiac 0.074; C25H28FN3O2; [M-H+Na-H]-; delta(ppm) 91290.876682
COMMENT: PROPOSED_MF SIRIUS5_Zodiac 0.049; C27H32ClNO; [M-H+Na-H]-; delta(ppm) 30266.207022
COMMENT: PROPOSED_MF SIRIUS6_Sirius 9.070; C25H25N5O3; [M-H]-; delta(ppm) 1.880943
COMMENT: PROPOSED_MF SIRIUS6_Sirius 8.336; C24H29NO7; [M-H]-; delta(ppm) 4.905492
COMMENT: PROPOSED_MF SIRIUS6_Sirius 7.734; C22H26FN5O4; [M-H]-; delta(ppm) -0.703143
COMMENT: PROPOSED_MF SIRIUS6_Sirius 7.639; C24H30ClN3O3; [M-H]-; delta(ppm) -51483.264994
COMMENT: PROPOSED_MF SIRIUS6_Sirius 6.790; C21H33NO7S; [M-H]-; delta(ppm) -2.718245
COMMENT: PROPOSED_MF SIRIUS6_Sirius 6.379; C22H27N4O6; [M-H]-; delta(ppm) 7.941931
COMMENT: PROPOSED_MF SIRIUS6_Sirius 6.359; C17H29N7O5S; [M-H]-; delta(ppm) 3.354559
COMMENT: PROPOSED_MF SIRIUS6_Sirius 6.138; C22H29N5O3S; [M-H]-; delta(ppm) -5.742748
COMMENT: PROPOSED_MF SIRIUS6_Sirius 5.880; C23H24F3N5O; [M-H]-; delta(ppm) 7.410925
COMMENT: PROPOSED_MF SIRIUS6_Sirius 5.790; C21H21N11O; [M-H]-; delta(ppm) 7.953803
COMMENT: PROPOSED_MF SIRIUS6_Zodiac 0.256; C25H25N5O3; [M-H]-; delta(ppm) 1.880943
COMMENT: PROPOSED_MF SIRIUS6_Zodiac 0.130; C24H29NO7; [M-H]-; delta(ppm) 4.905492
COMMENT: PROPOSED_MF SIRIUS6_Zodiac 0.073; C22H26FN5O4; [M-H]-; delta(ppm) -0.703143
COMMENT: PROPOSED_MF SIRIUS6_Zodiac 0.065; C24H30ClN3O3; [M-H]-; delta(ppm) -51483.264994
COMMENT: PROPOSED_MF SIRIUS6_Zodiac 0.039; C22H27N4O6; [M-H]-; delta(ppm) 7.941931
COMMENT: PROPOSED_MF SIRIUS6_Zodiac 0.034; C21H33NO7S; [M-H]-; delta(ppm) -2.718245
COMMENT: PROPOSED_MF SIRIUS6_Zodiac 0.028; C17H29N7O5S; [M-H]-; delta(ppm) 3.354559
COMMENT: PROPOSED_MF SIRIUS6_Zodiac 0.015; C23H24F3N5O; [M-H]-; delta(ppm) 7.410925
COMMENT: PROPOSED_MF SIRIUS6_Zodiac 0.011; C21H21N11O; [M-H]-; delta(ppm) 7.953803
COMMENT: PROPOSED_MF SIRIUS6_Zodiac 0.009; C22H29N5O3S; [M-H]-; delta(ppm) -5.742748
COMMENT: PROPOSED_COMPOUND CFM-ID:MsfinderDB 1.025; ZVWNORROGGUXBB-UHFFFAOYSA-N; [M-H]-; O=C1NC2CSC(CCCCC(=O)NC=3C=CC=4N=CN(C(=O)C4C3)CC(C)C)C2N1
COMMENT: PROPOSED_COMPOUND CFM-ID:MsfinderDB 0.850; CXKKYPSGMPPLCL-UHFFFAOYSA-N; [M-H]-; O=C1OC2=C(C(OCC(=O)NC(C(=O)O)CC)=CC=3OC(C)(C)CCC32)C4=C1CCCC4
COMMENT: PROPOSED_COMPOUND CFM-ID:MsfinderDB 0.812; PNAZDWJMYGFNNJ-LXIHWDMXNA-N; [M-H]-; C[C@@]1(O)C[C@]23CC[C@H]1C[C@H]2[C@](C)(CCC(=O)NC1=C(O)C(=CC=C1O)C(O)=O)C(=O)C=C3
COMMENT: PROPOSED_COMPOUND CFM-ID:MsfinderDB 0.803; YXGBTVYQLSAATE-UHFFFAOYSA-N; [M-H]-; O=C(O)CC(C)(C)CC(=O)NC1C=CC(C=2C(=NN(C3=CC=C(C(Cl)=C3)C)C2C)C)C1
COMMENT: PROPOSED_COMPOUND CFM-ID:MsfinderDB 0.800; WVRCSWFEPHDSKT-FOZNTRSISA-N; [M-H]-; CC1=C(C(=NC(=N1)NC(C)(C)C)NC2CC(C(C2O)O)CO)C3=NC4=CC=CC=C4S3
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 5.725; NMAOITPXCOBGTP-LRHNDGHRSA-N; [M-H]-; (1R,2S,3R,5R)-3-[[5-(1,3-benzothiazol-2-yl)-6-methyl-2-(2-methylpropylamino)pyrimidin-4-yl]amino]-5-(hydroxymethyl)cyclopentane-1,2-diol
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 5.725; WVRCSWFEPHDSKT-FOZNTRSISA-N; [M-H]-; (1R,2S,3R,5R)-3-[[5-(1,3-benzothiazol-2-yl)-2-(tert-butylamino)-6-methylpyrimidin-4-yl]amino]-5-(hydroxymethyl)cyclopentane-1,2-diol
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 5.605; PNAZDWJMYGFNNJ-LXIHWDMXNA-N; [M-H]-; platensin A4
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 5.562; DTNXMWNHACZCBK-BPPXLPNYSA-N; [M-H]-; UNPD214962
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 5.540; QOKDTAQNWPEKRB-UHFFFAOYSA-N; [M-H]-; 3-{[(6-{[4-(4-methoxyphenyl)pyrimidin-2-yl]amino}-hexahydrofuro[3,2-b]furan-3-yl)amino]methyl}benzonitrile
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 5.510; CXEBHAGFESHWNA-RJJWMSMHSA-N; [M-H]-; Didymellamide G
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 5.506; KCDUCFRQSKWOOA-UHFFFAOYSA-N; [M-H]-; 4-{5,11-dioxo-5H,6H,6aH,11H-isoindolo[2,1-a]quinazolin-6-yl}-N-[3-(1H-imidazol-1-yl)propyl]butanamide
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 5.506; PSSQNEIPMKKFRY-UHFFFAOYSA-N; [M-H]-; N-[(3,5-dimethyl-1H-pyrazol-4-yl)methyl]-4-{5,11-dioxo-5H,6H,6aH,11H-isoindolo[2,1-a]quinazolin-6-yl}butanamide
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 5.500; PGKFHOZQGYXNPU-SFRJGUJKNA-N; [M-H]-; UNPD71669
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 5.498; ACIRILHJKJCEQM-WNIRCWHXSA-N; [M-H]-; UNPD225479
COMMENT: PROPOSED_COMPOUND MS-FINDER:MsfinderDB 5.497; DMFFMULFLNQOHZ-XLYBGYBPNA-N; [M-H]-; UNPD9981
